1,Child,Social Welfare Council,27.7073,85.3262,Bishal Nagar, Kathmandu,01-4004051,info@swc.org.np
2,Child,Nepal Youth Foundation,27.7130,85.3311,Anamnagar, Kathmandu,01-4433777,info@nepalyouthfoundation.org
3,Child,Nepal Children Organization,27.7076,85.3282,Baluwatar, Kathmandu,01-4416832,nco@nconepal.org.np
4,Child,Nepal Disabled Human Rights Center,27.7181,85.3184,Kalanki, Kathmandu,01-4281673,ndhrcnepal@gmail.com
5,Child,Nepal Children and Women Development Center,27.7067,85.3233,Swayambhu, Kathmandu,9841596701,info@ncwdc.org.np
6,Women,Saathi,27.7169,85.3241,Thapathali, Kathmandu,01-4102058,info@saathi.org.np
7,Women,Nepal Mahila Ekata Samaj,27.7152,85.3296,Pulchowk, Kathmandu,01-5537594,nepalwomenunitysociety@gmail.com
8,Women,Women's Rehabilitation Centre,27.7105,85.3162,Seto Gumba, Kathmandu,01-4282976,wrc@wrcnepal.org
9,Women,Women's Foundation Nepal,27.7160,85.3306,Lazimpat, Kathmandu,01-4002023,info@womenepal.org
11,Elderly,HelpAge Nepal,27.7163,85.3348,Maharajgunj, Kathmandu,01-4373260,info@helpage.org.np
12,Elderly,Senior Citizen Society Nepal,27.7074,85.3305,Baluwatar, Kathmandu,01-4410885,seniorcitizensociety@gmail.com
13,Elderly,Ashraya Nepal,27.7115,85.3359,Chakupat, Kathmandu,01-5547805,ashraya@mail.com.np
14,Elderly,Pashupati Briddha Ashram,27.6988,85.3384,Pashupati, Kathmandu,01-4258553,pashupatibriddhashram@gmail.com
15,Elderly,Campaign for Old Age Home,27.6976,85.3209,Chhetrapati, Kathmandu,01-4250546,coah.2071@gmail.com
17, Child, Association of Youth Organizations Nepal (AYON), 26.667618, 87.188617, Damak-11, Jhapa, 023-584059, ayon@ayon.org.np
18, Child, Child Nepal, 26.683240, 87.204546, Damak-9, Jhapa, 023-580771, info@childnepal.org
19, Child, HELP NEPAL Network, 26.667240, 87.204400, Damak-9, Jhapa, 023-581114, info@helpnepal.net
20, Child, Koshi Hospital and Research Centre, 26.662596, 87.218434, Damak-9, Jhapa, 023-581408, koshihospital@gmail.com
